"title","titlelink","price","room","roomlink","area","arealink","person","personlink","updated_at"
"First time in Bhiwadi 2 BHK @12.99 HURRY!!!","http://gurgaon.quikr.com/First-time-in-Bhiwadi-2-BHK-12.99-HURRY-W0QQAdIdZ166731795","Rs 720","2 BHK","http://gurgaon.quikr.com/2-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Bhiwadi","http://gurgaon.quikr.com/Apartments-For-Sale/Bhiwadi/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","2 hours ago"
"Don't waste time get 2 BHK @12.99 (First time in Bhiwad...","http://gurgaon.quikr.com/Don-t-waste-time-get-2-BHK-12.99-First-time-in-Bhiwadi-W0QQAdIdZ166731677","Rs 720","2 BHK","http://gurgaon.quikr.com/2-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Bhiwadi","http://gurgaon.quikr.com/Apartments-For-Sale/Bhiwadi/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","2 hours ago"
"100 BED 200 BED 300 BEDS 500 BEDS AVAILABLE hospital fo...","http://gurgaon.quikr.com/100-BED-200-BED-300-BEDS-500-BEDS-AVAILABLE-hospital-for-sale-hospital-for-lease-hospital-for-lease-rent-multispecialis-hospitals-for-sale-W0QQAdIdZ82071241","Contact for Price","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In DLF Phase 2","http://gurgaon.quikr.com/Apartments-For-Sale/DLF-Phase-2/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","4 hours ago"
"raheja revanta with 72% buy back with bank guarantee st...","http://gurgaon.quikr.com/raheja-revanta-with-72-buy-back-with-bank-guarantee-started-50-lakh-W0QQAdIdZ166725801","Rs 50,00,000","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Sector 79","http://gurgaon.quikr.com/Apartments-For-Sale/Sector-79/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","4 hours ago"
"0989929991 Orchid Gardens gurgaon for sale 0989929991","http://gurgaon.quikr.com/0989929991-Orchid-Gardens-gurgaon-for-sale-0989929991-W0QQAdIdZ166723699","Contact for Price","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Golf Course Road","http://gurgaon.quikr.com/Apartments-For-Sale/Golf-Course-Road/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","4 hours ago"
"Resale 2 Bhk Flat For Sale in Bhiwadi @36 Lac","http://gurgaon.quikr.com/Resale-2-Bhk-Flat-For-Sale-in-Bhiwadi-36-Lac-W0QQAdIdZ166724286","Rs 36,00,000","2 BHK","http://gurgaon.quikr.com/2-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Bhiwadi","http://gurgaon.quikr.com/Apartments-For-Sale/Bhiwadi/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","4 hours ago"
"Resale 2 Bhk Flat For Sale in Bhiwadi @36 Lac","http://gurgaon.quikr.com/Resale-2-Bhk-Flat-For-Sale-in-Bhiwadi-36-Lac-W0QQAdIdZ166723899","Rs 36,00,000","2 BHK","http://gurgaon.quikr.com/2-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Bhiwadi","http://gurgaon.quikr.com/Apartments-For-Sale/Bhiwadi/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","4 hours ago"
"0989929991 Parsavnath Greenvile gurgaon for sale 098992...","http://gurgaon.quikr.com/0989929991-Parsavnath-Greenvile-gurgaon-for-sale-0989929991-W0QQAdIdZ166723773","Contact for Price","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Golf Course Road","http://gurgaon.quikr.com/Apartments-For-Sale/Golf-Course-Road/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","4 hours ago"
"0989929991 Chd Avenue 71 gurgaon for sale 0989929991","http://gurgaon.quikr.com/0989929991-Chd-Avenue-71-gurgaon-for-sale-0989929991-W0QQAdIdZ166723475","Contact for Price","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Golf Course Road","http://gurgaon.quikr.com/Apartments-For-Sale/Golf-Course-Road/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","4 hours ago"
"0989929991 Park View City 1 gurgaon for sale 0989929991...","http://gurgaon.quikr.com/0989929991-Park-View-City-1-gurgaon-for-sale-0989929991-W0QQAdIdZ166723387","Contact for Price","3 BHK","http://gurgaon.quikr.com/3-BHK/Apartments-For-Sale/w13222204001?l=No_of_Rooms&from=chiclet","In Golf Course Road","http://gurgaon.quikr.com/Apartments-For-Sale/Golf-Course-Road/w13222204001?from=chiclet","By Broker","http://gurgaon.quikr.com/Broker/Apartments-For-Sale/w13222204001?l=You_are&from=chiclet","4 hours ago"
